,nr_inst,nr_class,nr_attr,nr_num,nr_cat,cat_to_num,attr_to_inst,freq_class.median,freq_class.sd,freq_class.min,freq_class.max,class_ent,kurtosis.median,kurtosis.max,kurtosis.min,kurtosis.sd,skewness.median,skewness.max,skewness.min,skewness.sd,leaves,nodes,pca.median,pca.kurtosis,pca.skewness,cat_values.min,cat_values.max,cat_values.median,cat_values.sd,cat_values.total,missing_attr.total,missing_attr.perc,missing_inst.total,missing_inst.perc,missing_values.total,missing_values.perc,log_nr_inst,log_nr_attr,log_attr_to_inst,inv_attr_to_inst,log_inv_attr_to_inst
cardiotocography-3clases,0.016226763890315292,0.01020408163265306,0.0694980694980695,0.0694980694980695,0.0,0.0,0.005804202302045229,0.26125581956757704,0.5905624451750987,0.16485384988579907,0.807362362035676,0.11797570395169377,0.01101030408543822,0.004034731088666089,0.14373511946730216,0.006211840130381278,0.6897467771083914,0.06411463569704402,0.8378498671501211,0.09773458753207977,0.008821453775582216,0.008821453775582216,0.05017419948448144,0.2854276051078731,0.49507225206241573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519402806466834,0.4353527360060946,0.4472822607256289,0.015607289573129214,0.5527177392743711
breast-cancer-wisc,0.005109376604703708,0.0,0.023166023166023165,0.023166023166023165,0.0,0.0,0.007825122833502717,1.0,0.30466975802932283,0.7142034308590324,0.6592167572659343,0.11513580670778667,0.00806442408603378,0.00021217312605722105,0.17256642698639987,0.0004431160087734523,0.7044608794241386,0.014180803399504912,0.9020366338061826,0.021621065026284844,0.003293342742884027,0.003293342742884027,0.02196377587485832,0.29356962379013724,0.5752791769157767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4275915689077692,0.24578928575595996,0.47901203942465026,0.011600040319345676,0.5209879605753497
adult,0.3336628324946082,0.0,0.04247104247104247,0.04247104247104247,0.0,0.0,9.976296534173638e-05,1.0,0.5562020013858638,0.47825275516594606,0.7824933821891634,0.09234148184365433,0.01090951123640732,0.001996652817408507,0.1273622369937454,0.003689532911721298,0.702784297035907,0.04331142321017981,0.8661998188289477,0.07388655656707943,0.44648318042813456,0.44648318042813456,0.22145785020869854,0.19079576841379772,0.31581213377588685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8805047698378132,0.3446392237426468,0.07873512071590391,0.48125253281603897,0.9212648792840962
glass,0.0014891650405669098,0.04081632653061224,0.023166023166023165,0.023166023166023165,0.0,0.0,0.025831488625943116,0.1967553949523323,0.20619803291467087,0.09651401501102137,0.3665987491613368,0.31064486232292227,0.018733439437765904,0.00046595764551402485,0.19151244580593718,0.0009905025821918985,0.7082896648799781,0.020246602765964714,0.8361094764682334,0.04728925944220352,0.0035285815102328866,0.0035285815102328866,0.01569183307761772,0.09822114592336537,0.14853545582339153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29844320422357257,0.24578928575595996,0.6067163589972661,0.0034785721191724654,0.39328364100273394
fertility,0.0006290438533429188,0.0,0.023166023166023165,0.023166023166023165,0.0,0.0,0.05630362762594084,1.0,0.8044350879009627,0.245396734822536,0.9041531106786066,0.052478520922539976,0.00314041236956465,5.0029188913186504e-05,0.08360656039801709,0.000122282769749357,0.663658382470724,0.004363868654537511,0.7947223698398851,0.019864089999835823,0.0009409550693954364,0.0009409550693954364,0.007138597347158147,0.12773577660665644,0.2395701767877624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21381254411154116,0.24578928575595996,0.6904007392913261,0.0015490034333157112,0.30959926070867394
mammographic,0.0072789360172537745,0.0,0.007722007722007722,0.007722007722007722,0.0,0.0,0.003013307620061182,1.0,0.05378085194222733,0.9495507039836371,0.5362554374269494,0.12413658665531666,0.00823755194189085,0.005737853142712542,0.12114951944832943,0.018112105783417796,0.6447121904856922,0.07155098615653274,0.7831849136440182,0.22039648017645108,0.01846624323688544,0.01846624323688544,0.03057341496064894,0.11665618219020589,0.17744755077538762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46548625529634974,0.11428550955269333,0.3782540786801783,0.029714946340299392,0.6217459213198219
statlog-german-credit,0.007676902536715621,0.0,0.08108108108108109,0.08108108108108109,0.0,0.0,0.014053010977897091,1.0,0.42583381265094683,0.6005450551707661,0.7185995886042739,0.10602405204172421,0.008767750956408846,0.00047615219639241435,0.09472361428569598,0.0008415294760179552,0.6958454679144034,0.02249002710890815,0.7522046015108413,0.049068152414176065,0.01540813926135027,0.01540813926135027,0.032030688708438,0.15713619075518734,0.31144809267687745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4712039316962024,0.4652273204775369,0.5414931973102713,0.006452123862675601,0.45850680268972877
oocytes_merluccius_states_2f,0.00801068090787717,0.01020408163265306,0.08494208494208494,0.08494208494208494,0.0,0.0,0.014036224291697503,0.4874064929617988,0.5013405612541844,0.1073378783663198,0.7199368783954817,0.1373972703235234,0.007917811118196444,0.0001641913320053511,0.16692673714245057,0.00035890814508285124,0.6601218290892871,0.011562732572956836,0.7648659043557497,0.03457340006730278,0.0039990590449306045,0.0039990590449306045,0.05128739712066121,0.16633585547287966,0.3644018608167102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47577823090548016,0.47436030486134645,0.5413653485015213,0.006459899736484277,0.45863465149847876
congressional-voting,0.0033506213412755467,0.0,0.05019305019305019,0.05019305019305019,0.0,0.0,0.021152094331301427,1.0,0.2338822317747174,0.7806059741318463,0.6245236036534878,0.11898148600914057,0.08878319054095218,0.000644778311551195,0.2097521000199342,0.001183044397472678,0.851660663387485,0.026022447753726887,0.9310475690204261,0.03553662033297118,0.004116678428605034,0.004116678428605034,0.01939859073191698,0.275126618799825,0.46256180664428403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38276892667288037,0.37451380821408925,0.5852829599086351,0.004265159353985341,0.41471704009136495
soybean,0.003081031118414296,0.16326530612244897,0.12355212355212356,0.12355212355212356,0.0,0.0,0.05031532170305572,0.0669380985988512,0.06416886460645933,0.0077787872703179075,0.13057761429767445,0.5600365024622769,0.009391206389662335,0.001538143710979447,0.08411943701630757,0.0018590764788002957,0.7107022716483481,0.0397895593060072,0.7772659986572091,0.055361046979730134,0.005998588567395907,0.005998588567395907,0.021092301227371855,0.2305041901669377,0.4298034307180194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3739182643361985,0.5496382455587876,0.6783143525856072,0.0017440174113745814,0.3216856474143928
planning,0.0013094382253260757,0.0,0.03474903474903475,0.03474903474903475,0.0,0.0,0.038872075655250145,1.0,0.4847019255669409,0.5453236291626763,0.7474510317782208,0.10037227967307515,0.00840812660173391,4.792155009047891e-05,0.20612575886910997,5.7009025804765215e-05,0.6513292876731649,0.0025512237409281192,0.8406003522925363,0.009005527667358463,0.0017642907551164433,0.0017642907551164433,0.01618138020788217,0.1226038158056017,0.15307897312692667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28539835168573524,0.31015154698502456,0.6505900798461048,0.002283391515246267,0.3494099201538952
pittsburg-bridges-MATERIAL,0.0006675567423230974,0.01020408163265306,0.015444015444015444,0.015444015444015444,0.0,0.0,0.041577953820635144,0.2622049817936504,0.5443115987851355,0.2331124947553765,0.7712063822272098,0.13382679518948665,0.005288036770656958,2.832479407794206e-05,0.15628409162289905,5.178938583741992e-05,0.636913676130407,0.0018847935259158292,0.8269255248948773,0.013951368402579503,0.001293813220418725,0.001293813220418725,0.007251690745561485,0.11298396457873854,0.2730247058231308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21939774244437943,0.1895634502501345,0.6578189680758343,0.002129108304756654,0.34218103192416577
statlog-vehicle,0.006495840607990141,0.02040816326530612,0.05791505791505792,0.05791505791505792,0.0,0.0,0.012415536145602625,0.49500054036147945,0.02053747886216066,0.47066468689949076,0.2658731974141385,0.27968488155435095,0.005717006652915899,0.0007262661114383958,0.16641211788538676,0.0013511623394517277,0.679322075741086,0.02397186021472899,0.8708106394369899,0.040163753890779356,0.009880028228652082,0.009880028228652082,0.04005372603842709,0.20079533043647652,0.42582978399006877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45327487386426923,0.4008650592484721,0.5282470586065648,0.007308909958261249,0.4717529413934351
zoo,0.0006932320016432166,0.05102040816326531,0.05019305019305019,0.05019305019305019,0.0,0.0,0.09208186048165957,0.18864182095765622,0.17675710017023527,0.09651401501102137,0.37502806706259095,0.3490379800034091,0.00530694127881347,0.00011482884986899254,0.08132504563710553,0.00021251948537516269,0.6748621904818887,0.01140258529778547,0.8039398651075113,0.030026554353923086,0.0008233356857210068,0.0008233356857210068,0.00889980113448753,0.13560103122680356,0.34729598740519124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22296814411094676,0.37451380821408925,0.7432969638346207,0.0009118137739936107,0.2567030361653794
arrhythmia,0.003235082674335011,0.11224489795918367,1.0,1.0,0.0,0.0,0.3598308549647625,0.0558287350760864,0.20548955069625321,0.007406471865928576,0.5259778373810056,0.35657372073178417,0.04091843368096257,0.0032711284305654326,0.0,0.007387059793045585,0.6860178812189415,0.05771079354815085,0.2090521257073838,0.15135858527929716,0.006586685485768054,0.006586685485768054,0.031497672920053156,0.36187215742083084,0.5409954280487905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3790635125960397,1.0,0.8899659465748136,0.00016464727348433473,0.11003405342518646
lenses,7.70257779603574e-05,0.01020408163265306,0.003861003861003861,0.003861003861003861,0.0,0.0,0.10195769231108315,0.4250947843882738,0.4078100771483384,0.285508547336674,0.6592167572659343,0.16906237308571107,0.0,0.0,0.07847671257725294,8.116376948472805e-06,0.6619692785251358,0.0015641021160544308,0.8686864564132465,0.005196335259045168,0.0002352387673488591,0.0002352387673488591,0.001584608124073185,0.10590747175437452,0.05528729157815093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06093516127452195,0.06436226122906469,0.7542559057626701,0.0008146153513851547,0.24574409423732993
ozone,0.019705761528191434,0.0,0.26640926640926643,0.26640926640926643,0.0,0.0,0.016574096362636227,1.0,1.0,0.061946330641600954,1.0,0.0,0.007505843512972166,0.0010709297737315205,0.1627776544354523,0.000950277978404526,0.6453417153625233,0.02754736151294947,0.6792938792090416,0.03630079371041152,0.003646200893907316,0.003646200893907316,0.0788162228865797,0.37223895475804086,0.5934472114456436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729706054537683,0.7110166062334966,0.559151982909298,0.0054621399287005865,0.4408480170907019
seeds,0.001540515559207148,0.01020408163265306,0.015444015444015444,0.015444015444015444,0.0,0.0,0.019440488080079157,0.6541585786568516,0.013604162503816788,0.6561509822572748,0.3465790879953854,0.2153361942350498,0.004101662948048531,1.5494911531806512e-05,0.14982361891670842,2.0773887326394214e-05,0.671131269177494,0.002556590895096176,0.8607040676500841,0.007372591528124823,0.0007057163020465773,0.0007057163020465773,0.018701596548358113,0.08982707253896888,0.2851191936437382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3019002404505032,0.1895634502501345,0.5762389542934194,0.004647010299947132,0.4237610457065806
cylinder-bands,0.0037742631200575125,0.0,0.12355212355212356,0.12355212355212356,0.0,0.0,0.04130199008721177,1.0,0.2612896488698486,0.7548963324777663,0.6379560612692883,0.11761766668065303,0.01691311642793415,0.0018846887073919881,0.0867849131869442,0.002996841085187672,0.6502881709034861,0.043984353533786,0.400717816001308,0.0913463263741489,0.005998588567395907,0.005998588567395907,0.022285772161632463,0.37650621314328797,0.5783134042443498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39536891259482426,0.5496382455587876,0.6571035502114713,0.002143919492963657,0.3428964497885288
wine,0.0011810619287254802,0.01020408163265306,0.03861003861003861,0.03861003861003861,0.0,0.0,0.04634029939171273,0.577444646586258,0.11318662978460325,0.5798790016275077,0.4262783510526891,0.21173482173657016,0.00780799021595011,5.230270637015582e-05,0.1499427593238786,8.468133885756131e-05,0.6650876110588264,0.005129340343269925,0.870277378569871,0.01027291183344417,0.0007057163020465773,0.0007057163020465773,0.010546862832256781,0.17961034133774814,0.39957840855545745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27502026496501103,0.32805926579718414,0.6694703239172027,0.0019012438708027651,0.3305296760827973
tic-tac-toe,0.007253260757933655,0.0,0.023166023166023165,0.023166023166023165,0.0,0.0,0.005517523023928523,1.0,0.31822840165171096,0.7014847266333308,0.665861900695229,0.11427761689438179,0.00140486670399775,2.376506212974475e-06,0.10620516010163229,0.0,0.6630890958591428,0.0015165848848311047,0.8816597172760025,0.0007073129219535173,0.005410491649023759,0.005410491649023759,0.03133051420807822,0.1257972028968152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4651068559754515,0.24578928575595996,0.4419162216009815,0.016409562267675204,0.5580837783990186
acute-nephritis,0.0008344459279038719,0.0,0.011583011583011582,0.011583011583011582,0.0,0.0,0.02926435482692425,1.0,0.16068202784114,0.8492716422200772,0.5886479780989436,0.12186521293661517,0.0011132963818925579,2.7606642275811887e-05,0.0822803722308468,7.834464545608789e-05,0.658832107641514,0.006130787967170606,0.849513171122868,0.017476857818859222,0.0,0.0,0.008619662844813112,0.095333021578583,0.08652317945463218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24075220033019937,0.15507577349251225,0.6201058780088036,0.003060978896113915,0.37989412199119643
connect-4,0.5187557769333471,0.0,0.15057915057915058,0.15057915057915058,0.0,0.0,0.0002785953890164832,1.0,0.5405726517414398,0.49291381884780056,0.7748334186616165,0.09421101896278138,0.042112586130371464,0.016847331209781526,0.12056564532277356,0.029430609469610916,0.7860519961481742,0.12378655158721519,0.8596951905212631,0.20962616431260303,1.0,1.0,0.27192747591364375,0.17588300521065456,0.39990454551264243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285451064514916,0.5904285094986066,0.14951951378867898,0.24933401080805323,0.850480486211321
pima,0.005789770976686865,0.0,0.019305019305019305,0.019305019305019305,0.0,0.0,0.006132718401912232,1.0,0.30433787608680163,0.714514716349872,0.6590540894977143,0.11515631675957612,0.014472402621895418,0.00010652499864571446,0.15243434217830007,0.00025886668554001957,0.6753408100590969,0.008584192506206203,0.8032013672548192,0.030794660697775516,0.009762408844977652,0.009762408844977652,0.026714806553357506,0.1205508867829669,0.25516680507217526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4409517433681772,0.21943803472157702,0.4531195503678804,0.014778788732799994,0.5468804496321197
statlog-image,0.01749768922666119,0.05102040816326531,0.05791505791505792,0.05791505791505792,0.0,0.0,0.004596829432535369,0.2830458029954298,0.011871171189330593,0.2609104351608022,0.14890571134687855,0.40519450527757594,0.009998543508204772,0.005173104631385084,0.15077313671453862,0.009274920082194573,0.7085826368726924,0.06426498772377826,0.8418526819720591,0.11746365899463136,0.006939543636791343,0.006939543636791343,0.059755933127526466,0.2824361912036564,0.5268316645444231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5601013913865058,0.4008650592484721,0.42261499918522955,0.019649509687957065,0.5773850008147706
chess-krvkp,0.024712437095614666,0.0,0.1274131274131274,0.1274131274131274,0.0,0.0,0.006559438890007054,1.0,0.05020035161643517,0.9529093796311128,0.5345006067002338,0.12417334470842818,0.012661314493405637,0.02474754689397346,0.0847738779970182,0.029418414291257942,0.7234755652609806,0.1578209643863039,0.8336083625407692,0.18877266944620727,0.0050576334980004705,0.0050576334980004705,0.05951326429618014,0.19154954512776365,0.36298696990523643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5975078173680648,0.5559408327409843,0.4602579769391836,0.013824804214605888,0.5397420230608164
musk-2,0.05122214234363767,0.0,0.6293436293436293,0.6293436293436293,0.0,0.0,0.014737645771534144,1.0,0.7420133730737746,0.3039516313562373,0.873560044578351,0.06455172156369982,0.005721269091725506,0.0006858490135991717,0.1158659989302201,0.0006221010557052946,0.6603265517084251,0.02239887341820537,0.8193355682690955,0.029085246329693493,0.013879087273582686,0.013879087273582686,0.13544350926708873,0.707866322733812,0.7714527442926711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6766386504787636,0.8979006585979424,0.5465821580258194,0.006149989006856544,0.4534178419741808
waveform,0.03830748690561775,0.01020408163265306,0.0694980694980695,0.0694980694980695,0.0,0.0,0.0024143466092835064,0.6657594902870516,0.007846160236709645,0.6556495031798083,0.3408149110833315,0.21537245417902268,0.006016038604491128,2.428831390126455e-05,0.19484940376115129,1.920303568319771e-05,0.6600392435080886,0.0017494931354032563,0.8700666598305531,0.0030537067084016292,0.03916725476358504,0.03916725476358504,0.06537419516977837,0.53033956750344,0.7089054615221018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6450773731362879,0.4353527360060946,0.35518656092764167,0.03683665933649991,0.6448134390723584
flags,0.0014249768922666118,0.061224489795918366,0.09652509652509653,0.09652509652509653,0.0,0.0,0.08394882250448721,0.23064155983759885,0.15674216289859652,0.03333507789245309,0.32105205441397267,0.3646080806012392,0.011238738996060465,0.0009816600829012576,0.08319161206665582,0.0020259825266671296,0.7063654065745691,0.029741669608413193,0.8277103640958647,0.060598765729899536,0.004469536579628322,0.004469536579628322,0.012454783895722766,0.18799745292684997,0.36098430439407914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29396160481338995,0.4997149972351592,0.7333511291533902,0.0010090121966020665,0.2666488708466098
wall-following,0.04190202321043442,0.02040816326530612,0.08108108108108109,0.08108108108108109,0.0,0.0,0.0025273023316340014,0.5341633767894403,0.2566526723001879,0.12077370631796153,0.4079931170538624,0.23590650288942572,0.0075475439982892354,0.0001903227069112622,0.11716432490734772,0.0004019117826192377,0.7033875188568033,0.013847885323047494,0.8802930763411706,0.024773505876077843,0.0028228652081863093,0.0028228652081863093,0.07363898729023825,0.29824539035899655,0.5161209844561099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6548183785958371,0.4652273204775369,0.3599317964953426,0.03524445660424711,0.6400682035046574
pendigits,0.07687172640443668,0.08163265306122448,0.05019305019305019,0.05019305019305019,0.0,0.0,0.0008605345909332349,0.1964414662024274,0.006618462213367843,0.18722425260376377,0.09692778346596223,0.48531435515287347,0.004464216287759209,6.423266958843879e-05,0.11191493607279887,0.00010177405379229357,0.6599066709475507,0.004010815639887117,0.8151102863912375,0.015441473547498929,0.02564102564102564,0.02564102564102564,0.11786803433356792,0.13670020153272586,0.3376091263772158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7207705718759969,0.37451380821408925,0.25106060857931556,0.09704105373375659,0.7489393914206846
iris,0.0010783608914450035,0.01020408163265306,0.003861003861003861,0.003861003861003861,0.0,0.0,0.01543681780548098,0.6719291047238164,0.009463763082809095,0.6520737445075966,0.3394783066025222,0.2153640852710172,0.0035403817191960204,2.170342164972873e-05,0.12991890840786752,5.210114010575454e-05,0.6567879521111271,0.0016005181119572542,0.8662218198115588,0.005932595341419538,0.0004704775346977182,0.0004704775346977182,0.013667233741233726,0.059884715025979286,0.1687103376033317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26594105044396443,0.06436226122906469,0.5515422465631876,0.0058689333270248644,0.4484577534368124
cardiotocography-10clases,0.01627811440895553,0.08163265306122448,0.0694980694980695,0.0694980694980695,0.0,0.0,0.005785717122646047,0.13662841459591035,0.12266601759915852,0.05145098720774854,0.2723435555413492,0.4237938950764413,0.011808418567215262,0.0040475679203784976,0.14142827635318506,0.006232578741097161,0.6949093648682897,0.06421554195164308,0.8405929580367131,0.0979622261449498,0.021877205363443897,0.021877205363443897,0.05021684845064514,0.2720430242056222,0.48551887603256105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5522821568927898,0.4353527360060946,0.4469442070964262,0.015656660200485895,0.5530557929035739
statlog-landsat,0.04525264455170997,0.04081632653061224,0.1274131274131274,0.1274131274131274,0.0,0.0,0.003546924283134336,0.3194052886687482,0.10676327938998979,0.19337088898975327,0.24407646408399367,0.35365764301124103,0.005845353336085442,4.133850739873809e-05,0.17384907922973283,7.754993419158463e-05,0.6549594315091958,0.0039604551380412615,0.8508309909915548,0.01294822382195845,0.03610915078804987,0.03610915078804987,0.15533790792512203,0.09248065077367222,0.31382890777650607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631750527981857,0.5559408327409843,0.3953249858066638,0.025344617264496973,0.6046750141933362
twonorm,0.05716596487624525,0.0,0.06563706563706563,0.06563706563706563,0.0,0.0,0.0015087567620309095,1.0,0.011234733380083092,0.9894611885373857,0.5154034356315762,0.12440959935832203,0.007398842387654929,2.312798910293781e-05,0.23706306162042812,7.738807490675553e-07,0.657074217331229,0.0009507835015801015,0.8763701325361558,0.0002099756471660937,0.03540343448600329,0.03540343448600329,0.08669947483048793,0.9989175497268308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6885704028051738,0.4244370565377179,0.30692660275892614,0.05772105184121584,0.693073397241074
heart-cleveland,0.0021182088939098284,0.030612244897959183,0.03861003861003861,0.03861003861003861,0.0,0.0,0.02674723892804525,0.24979852959086737,0.2833757865370581,0.09222413606174927,0.5370855352223397,0.2624587974818547,0.006034396330696543,7.054584253274273e-05,0.08411663277000565,0.00013658111448758856,0.6700652400417194,0.009173644673247513,0.843276641631607,0.021148704066818607,0.005998588567395907,0.005998588567395907,0.014309672685951704,0.2723939559460808,0.4574309687097422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33470383205802895,0.32805926579718414,0.6104540960004347,0.0033567279426832334,0.38954590399956535
primary-tumor,0.002426312005751258,0.1326530612244898,0.05405405405405406,0.05405405405405406,0.0,0.0,0.030729717399208403,0.09605638439196178,0.08708217346560611,0.04033278213587361,0.24726172451516462,0.5173385954831489,0.006091275822929859,0.00046008485474914563,0.10979884179820451,0.0007976928078059889,0.6167311579070925,0.001763288885721383,0.6275932424936594,0.03672135302452397,0.01282051282051282,0.01282051282051282,0.016307153657551202,0.14500119063518233,0.3054796136856554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3488496389171415,0.3880771759728386,0.6253504388990977,0.0029110519174498912,0.3746495611009024
oocytes_trisopterus_nucleus_2f,0.007253260757933655,0.0,0.08494208494208494,0.08494208494208494,0.0,0.0,0.015491021602101486,1.0,0.16934957566121786,0.8411410154463166,0.5928959680553149,0.12158071868679131,0.012501626484085059,0.0002043678518812465,0.18487700315325478,0.00040684935894252266,0.6628765271343414,0.010485843437844875,0.7528666494279459,0.03640806757963423,0.008586215008233356,0.008586215008233356,0.04987923033308326,0.09841702748386566,0.2705266585831105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4651068559754515,0.47436030486134645,0.5519174037108611,0.005848197663535061,0.44808259628913905
post-operative,0.0006033685940227997,0.01020408163265306,0.019305019305019305,0.019305019305019305,0.0,0.0,0.051860290849098115,0.5061041432766916,0.5175805521001842,0.07246016801688028,0.7284466891180842,0.12877957687447578,0.004999956934056371,0.00013087644431085418,0.08109317452859818,0.00031268882462378835,0.6530731007032697,0.012101984305180525,0.8317859154275258,0.030861156065359267,0.0029404845918607385,0.0029404845918607385,0.0067791411503672705,0.11668267364207213,0.1156919116051234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2099232915731094,0.21943803472157702,0.6815648064154328,0.0016894011548612585,0.31843519358456723
spect,0.0007830954092636335,0.0,0.07335907335907337,0.07335907335907337,0.0,0.0,0.11378960677338772,1.0,0.3863566027765275,0.6375768196796553,0.6992517185316649,0.10935546204434143,0.006387025545042926,0.00017540524492834925,0.08166433940930719,0.00029387531252425515,0.7083419025184713,0.01389157209692949,0.8807455545246307,0.019508309123807424,0.0030581039755351682,0.0030581039755351682,0.008746482736655192,0.24085383641274974,0.4490167634949657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23461607023689982,0.4457605218411852,0.766067187355612,0.0007203623355224097,0.23393281264438812
acute-inflammation,0.0008472835575639314,0.0,0.011583011583011582,0.011583011583011582,0.0,0.0,0.028867639627556445,1.0,0.05764022950257664,0.9459303481945612,0.538146894126743,0.12409412515466713,0.0013471213455289008,2.0742992946253566e-05,0.08784119264755463,5.686150068499346e-05,0.6649133106713807,0.0054761667505219954,0.8486168764910245,0.0162328582610798,0.00011761938367442955,0.00011761938367442955,0.008809584965262412,0.08822620904011606,0.11207328001952953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24223368569951423,0.15507577349251225,0.6186409575546596,0.0031041781950510057,0.38135904244534047
chess-krvk,0.2157748793262812,0.16326530612244897,0.011583011583011582,0.011583011583011582,0.0,0.0,3.487152868868456e-05,0.07019781540296136,0.08082711793442468,0.0018533832146818865,0.15783857663864928,0.514039591119495,0.003369300698405883,1.6848292269836115e-05,0.14646683594165627,2.7758754570207977e-05,0.655820313761427,0.003349411849695448,0.8502851173894904,0.010824729980002034,0.6022112444130793,0.6022112444130793,0.17342163571957978,0.1770448557269128,0.0035432898709139315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8330595198462253,0.15507577349251225,0.034421317452151344,0.7263468409998375,0.9655786825478486
dermatology,0.0026830645989524495,0.04081632653061224,0.11969111969111969,0.11969111969111969,0.0,0.0,0.055870477107106464,0.3045501322494196,0.12128131103546899,0.12878137055309535,0.31000182919469255,0.3496838243079781,0.009862945977920385,0.0002652345540620939,0.13155186109013714,0.0004321063714580314,0.711512104811591,0.016250385559186644,0.8606043492526321,0.02894938073582884,0.0015290519877675841,0.0015290519877675841,0.01852228172519535,0.36181435726316974,0.578132956097398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3593783654980946,0.5431529494653508,0.6895705887452018,0.0015617091094736794,0.3104294112547982
libras,0.0027472527472527475,0.1326530612244898,0.3359073359073359,0.3359073359073359,0.0,0.0,0.14470847784295726,0.1298731746215366,0.013634368445899044,0.08081638137659726,0.06731969531115259,0.5743741058222945,0.004785356990776882,2.0114882276577376e-05,0.1549052437162449,1.6307674762921514e-05,0.6484549825759163,0.0013176971737285706,0.8593412002398176,0.003314387658013717,0.0061162079510703364,0.0061162079510703364,0.05496295508214703,0.08138423722303208,0.20943374920031352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36185882571770106,0.760939854557125,0.7919291254376689,0.0005467796979751871,0.2080708745623311
